OID_	IDENT	NAME	UPPER_DESC	UPPER_VAL	UPPER_UOM	UPPER_CODE	LOWER_DESC	LOWER_VAL	LOWER_UOM	LOWER_CODE	TYPE_CODE	LOCAL_TYPE	CLASS	MIL_CODE	COMM_NAME	LEVEL	SECTOR	ONSHORE	EXCLUSION	WKHR_CODE	WKHR_RMK	DST	GMTOFFSET	SHAPE_Leng	SHAPE_Area	AirCheck
4829	PDX	PORTLAND INTERNATIONAL AIRPORT CLASS C	TI	4000	FT	MSL	 	1100	FT	MSL	CLASS	CLASS_C	C	CIV	 	L	 	1	0	H24	 	 	 	0.214938646	0.002638691	Pass
4830	PDX	PORTLAND INTERNATIONAL AIRPORT CLASS C	TI	4000	FT	MSL	 	2000	FT	MSL	CLASS	CLASS_C	C	CIV	 	L	 	1	0	H24	 	 	 	0.740947947	0.024869709	Pass
4831	PDX	PORTLAND INTERNATIONAL AIRPORT CLASS C	TI	4000	FT	MSL	 	1700	FT	MSL	CLASS	CLASS_C	C	CIV	 	L	 	1	0	H24	 	 	 	0.769580805	0.026614775	Pass
4832	PDX	PORTLAND INTERNATIONAL AIRPORT CLASS C	TI	4000	FT	MSL	 	2300	FT	MSL	CLASS	CLASS_C	C	CIV	 	L	 	1	0	H24	 	 	 	0.632615759	0.018850654	Pass
4833	PDX	PORTLAND INTERNATIONAL AIRPORT CLASS C	TI	4000	FT	MSL	 	1800	FT	MSL	CLASS	CLASS_C	C	CIV	 	L	 	1	0	H24	 	 	 	0.715762658	0.024885016	Pass
4834	MUO	MOUNTAIN HOME CLASS D	TI	5500	FT	MSL	 	0	FT	SFC	CLASS	CLASS_D	D	CIV	 	L	 	1	0	NOTAM	Legal description references NOTAM	 	 	0.622532751	0.02975642	Fail
4835	MSY	NEW ORLEANS CLASS B	TI	7000	FT	MSL	 	1000	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA C	1	0	H24	 	 	 	0.607120064	0.010337445	Pass
4836	MSY	NEW ORLEANS CLASS B	TI	7000	FT	MSL	 	2500	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA D	1	0	H24	 	 	 	0.426386657	0.012116481	Pass
4837	 	NEW MEXICO CLASS E5	AA	-9998	 	 	 	1200	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	25.07897323	20.31300771	Pass
4838	MSY	NEW ORLEANS CLASS B	TI	7000	FT	MSL	 	2000	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA D	1	0	H24	 	 	 	1.905806512	0.207278354	Pass
4839	MSY	NEW ORLEANS CLASS B	TI	7000	FT	MSL	 	4000	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA E	1	0	H24	 	 	 	2.258374545	0.402950314	Pass
4840	MSY	NEW ORLEANS CLASS B	TI	1000	FT	MSL	 	600	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA F	1	0	H24	 	 	 	0.064110868	0.000135551	Pass
4841	MSY	NEW ORLEANS CLASS B	TI	1000	FT	MSL	 	600	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA F	1	0	H24	 	 	 	0.07309734	0.000137807	Pass
4842	 	LAMAR CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.74708702	0.043567534	Pass
4843	 	MACKALL AAF CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.771304033	0.044901008	Pass
4844	 	MARSHALL CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	1.312554407	0.134933543	Pass
4845	SCK	STOCKTON CLASS D	TI	2500	FT	MSL	 	0	FT	SFC	CLASS	CLASS_D	D	CIV	 	L	 	1	0	NOTAM	Legal description references NOTAM	 	 	0.535326257	0.022347861	Fail
4846	 	CAMPBELLSVILLE CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	1.086481439	0.076054044	Pass
4847	MSY	NEW ORLEANS CLASS B	TI	1000	FT	MSL	 	0	FT	SFC	CLASS	CLASS_B	B	CIV	 	L	AREA F	1	0	H24	 	 	 	0.551043568	0.003847297	Fail
4848	MSY	NEW ORLEANS CLASS B	TI	7000	FT	MSL	 	2000	FT	MSL	CLASS	CLASS_B	B	CIV	 	L	AREA F	1	0	H24	 	 	 	0.560383837	0.004119702	Pass
4849	 	NORTH CAROLINA CLASS E5	AA	-9998	 	 	 	1200	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	23.03389017	14.73750198	Pass
4850	 	SOUTH CAROLINA CLASS E5	AA	-9998	 	 	 	1200	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	15.58421664	8.576401415	Pass
4851	 	VIRGINIA CLASS E5	AA	-9998	 	 	 	1200	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	24.82893578	11.60904832	Pass
4852	 	TENNESSEE CLASS E5	AA	-9998	 	 	 	1200	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	22.56850119	10.88954659	Pass
4853	 	GEORGIA CLASS E5	AA	-9998	 	 	 	1200	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	21.26518969	15.06121355	Pass
4854	 	MOUNTAIN HOME CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.896456412	0.061705415	Pass
4855	 	MOUNTAIN HOME CLASS E5	AA	-9998	 	 	 	1200	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	3.735298623	1.071323826	Pass
4856	 	MOUNTAIN VIEW CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.767907405	0.046080357	Pass
4857	 	NEVADA CLASS E5	AA	-9998	 	 	 	700	FT	SFC	CLASS	CLASS_E5	E	CIV	 	L	 	1	0	H24	 	 	 	0.784898485	0.048048489	Pass
4858	 	WOODY ISLAND LOW	AA	-9998	 	 	 	1200	FT	MSL	CLASS	CLASS_E7	E	CIV	 	L	 	1	0	H24	 	 	 	0.549271626	0.003436726	Pass
